index,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
7,2021,AL,Alabama,Dallas,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,44.3,,,36.8,52.2,"37,619",1047,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-87.11436 32.3335263)
11,2021,AL,Alabama,Fayette,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,6.9,,,6.1,7.9,"16,148",1057,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-87.7642923 33.7161568)
13,2021,AL,Alabama,Calhoun,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,34.1,,,28.4,39.8,"115,972",1015,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-85.8279089 33.7705162)
17,2021,AL,Alabama,Choctaw,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,11.3,,,8.8,13.6,"12,533",1023,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-88.2488894 31.9909539)
31,2021,AL,Alabama,Fayette,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,35.0,,,29.4,40.9,"16,148",1057,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-87.7642923 33.7161568)
33,2021,AL,Alabama,Lawrence,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.3,,,33.3,49.6,"33,090",1079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3218651 34.529776)
37,2021,AL,Alabama,Colbert,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.5,,,3.9,5.2,"57,474",1033,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-87.8014569 34.703112)
38,2021,AL,Alabama,Cullman,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Age-adjusted prevalence,25.2,,,20.9,29.8,"89,496",1043,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-86.8692666 34.1319229)
42,2021,AL,Alabama,Clay,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,12.3,,,9.7,15.5,"14,190",1027,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-85.8635254 33.2703999)
44,2021,AL,Alabama,Lamar,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.6,,,7.7,9.5,"13,689",1075,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-88.0874309 33.7870852)
50,2021,AL,Alabama,Houston,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,35.7,,,31.2,40.3,"107,458",1069,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-85.2964111 31.1581831)
55,2020,AL,Alabama,Morgan,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,70.3,,,67.4,73.4,"123,668",1103,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-86.8464021 34.4544844)
57,2021,AL,Alabama,Randolph,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,8.6,,,7.5,9.7,"21,989",1111,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-85.4640637 33.2964614)
59,2021,AL,Alabama,Crenshaw,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,20.1,,,16.4,24.1,"13,083",1041,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-86.3200384 31.7303106)
62,2021,AL,Alabama,Covington,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,83.0,,,79.7,86.0,"37,524",1039,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-86.4487206 31.2439873)
